"team","pp","week"
"Southern Mississippi",-0.643360383318519,6
"Florida International",-0.794544805979815,6
"Arkansas State",-0.618547117098239,6
"Kansas",-0.742961054588088,6
"Ohio",-0.66344767097769,6
"Arizona",-0.615837839017919,6
"Akron",-1.03443023711828,6
"New Mexico State",-1.07991415464171,6
"UMass",-1.14458924369784,6
"Connecticut",-1.14515487674126,6
